question_type,dataset,family,model,prompt,calib_size,transfer_type,target,source,median_acc,raw_acc,delta_acc,median_bias,raw_bias,delta_bias,median_rstd,raw_rstd,delta_rstd
yesno,EWOK,Gemma3,gemma-3-12b-pt,zeroshot,200,baseline,EWOK,EWOK,0.5866104868913857,0.5852059925093633,0.001404494382022392,0.019662921348314606,0.5224719101123596,-0.502808988764045,,,
yesno,EWOK,Gemma3,gemma-3-12b-pt,zeroshot,300,baseline,EWOK,EWOK,0.5866104868913857,0.5852059925093633,0.001404494382022392,0.028089887640449437,0.5224719101123596,-0.49438202247191015,,,
yesno,EWOK,Gemma3,gemma-3-12b-pt,zeroshot,400,baseline,EWOK,EWOK,0.5865580448065173,0.5852059925093633,0.0013520522971539606,0.024344569288389514,0.5224719101123596,-0.4981273408239701,,,
yesno,EWOK,Gemma3,gemma-3-12b-pt,zeroshot,500,baseline,EWOK,EWOK,0.5861423220973783,0.5852059925093633,0.000936329588014928,0.011235955056179775,0.5224719101123596,-0.5112359550561798,,,
yesno,EWOK,Gemma3,gemma-3-12b-it,zeroshot,10,baseline,EWOK,EWOK,0.6835205992509363,0.670880149812734,0.012640449438202306,0.20131086142322097,0.4447565543071161,-0.24344569288389512,,,
yesno,EWOK,Gemma3,gemma-3-12b-it,zeroshot,20,baseline,EWOK,EWOK,0.6858614232209738,0.670880149812734,0.014981273408239737,0.09363295880149813,0.4447565543071161,-0.35112359550561795,,,
yesno,EWOK,Gemma3,gemma-3-12b-it,zeroshot,50,baseline,EWOK,EWOK,0.6863295880149812,0.670880149812734,0.015449438202247201,0.05524344569288389,0.4447565543071161,-0.38951310861423216,,,
yesno,EWOK,Gemma3,gemma-3-12b-it,zeroshot,100,baseline,EWOK,EWOK,0.6872659176029963,0.670880149812734,0.01638576779026224,0.031835205992509365,0.4447565543071161,-0.4129213483146067,,,
yesno,EWOK,Gemma3,gemma-3-12b-it,zeroshot,200,baseline,EWOK,EWOK,0.6867977528089888,0.670880149812734,0.015917602996254776,0.034,0.4447565543071161,-0.4107565543071161,,,
yesno,EWOK,Gemma3,gemma-3-12b-it,zeroshot,300,baseline,EWOK,EWOK,0.6872659176029963,0.670880149812734,0.01638576779026224,0.023719165085388995,0.4447565543071161,-0.42103738922172707,,,
yesno,EWOK,Gemma3,gemma-3-12b-it,zeroshot,400,baseline,EWOK,EWOK,0.6877340823970037,0.670880149812734,0.016853932584269704,0.024271844660194174,0.4447565543071161,-0.4204847096469219,,,
